player;team;season;league;fbref_standard_nation;fbref_standard_pos;fbref_standard_age;fbref_standard_born;fbref_standard_playing_time_mp;fbref_standard_playing_time_starts;fbref_standard_playing_time_min;fbref_standard_playing_time_90s;fbref_standard_performance_gls;fbref_standard_performance_ast;fbref_standard_performance_g_plus_a;fbref_standard_performance_g_pk;fbref_standard_performance_pk;fbref_standard_performance_pkatt;fbref_standard_performance_crdy;fbref_standard_performance_crdr;fbref_standard_per_90_minutes_gls;fbref_standard_per_90_minutes_ast;fbref_standard_per_90_minutes_g_plus_a;fbref_standard_per_90_minutes_g_pk;fbref_standard_per_90_minutes_g_plus_a_pk;fbref_shooting_nation;fbref_shooting_pos;fbref_shooting_age;fbref_shooting_born;fbref_shooting_90s;fbref_shooting_standard_gls;fbref_shooting_standard_sh;fbref_shooting_standard_sot;fbref_shooting_standard_sotpct;fbref_shooting_standard_sh_per_90;fbref_shooting_standard_sot_per_90;fbref_shooting_standard_g_per_sh;fbref_shooting_standard_g_per_sot;fbref_shooting_standard_pk;fbref_shooting_standard_pkatt;fbref_playing_time_nation;fbref_playing_time_pos;fbref_playing_time_age;fbref_playing_time_born;fbref_playing_time_playing_time_mp;fbref_playing_time_playing_time_min;fbref_playing_time_playing_time_mn_per_mp;fbref_playing_time_playing_time_minpct;fbref_playing_time_playing_time_90s;fbref_playing_time_starts_starts;fbref_playing_time_starts_mn_per_start;fbref_playing_time_starts_compl;fbref_playing_time_subs_subs;fbref_playing_time_subs_mn_per_sub;fbref_playing_time_subs_unsub;fbref_playing_time_team_success_ppm;fbref_playing_time_team_success_ong;fbref_playing_time_team_success_onga;fbref_playing_time_team_success_plus_minus;fbref_playing_time_team_success_plus_minus90;fbref_playing_time_team_success_on_off;fbref_misc_nation;fbref_misc_pos;fbref_misc_age;fbref_misc_born;fbref_misc_90s;fbref_misc_performance_crdy;fbref_misc_performance_crdr;fbref_misc_performance_2crdy;fbref_misc_performance_fls;fbref_misc_performance_fld;fbref_misc_performance_off;fbref_misc_performance_crs;fbref_misc_performance_int;fbref_misc_performance_tklw;fbref_misc_performance_og;fbref_keeper_nation;fbref_keeper_pos;fbref_keeper_age;fbref_keeper_born;fbref_keeper_playing_time_mp;fbref_keeper_playing_time_starts;fbref_keeper_playing_time_min;fbref_keeper_playing_time_90s;fbref_keeper_performance_ga;fbref_keeper_performance_ga90;fbref_keeper_performance_sota;fbref_keeper_performance_saves;fbref_keeper_performance_savepct;fbref_keeper_performance_w;fbref_keeper_performance_d;fbref_keeper_performance_l;fbref_keeper_performance_cs;fbref_keeper_performance_cspct;fbref_keeper_penalty_kicks_pkatt;fbref_keeper_penalty_kicks_pka;fbref_keeper_penalty_kicks_pksv;fbref_keeper_penalty_kicks_pkm;fbref_keeper_penalty_kicks_savepct
Adjani Mujangi Bia;Anderlecht;2526;BEL-Belgian Pro League;BEL;MF;15;2010;1;0;2;0,0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;BEL;MF;15;2010;0,0;0;0;0;;0,0;0,0;;;0;0;BEL;MF;15;2010;1;2;2;0,1;0,0;0;;0;1;2;0;0,0;0;0;0;0,0;0,08;BEL;MF;15;2010;0,0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Adriano Bertaccini;Anderlecht;2526;BEL-Belgian Pro League;BEL;MF,FW;24;2000;32;17;1545;17,2;6;1;7;6;0;0;7;1;0,35;0,06;0,41;0,35;0,41;BEL;MF,FW;24;2000;17,2;6;61;25;41,0;3,55;1,46;0,1;0,24;0;0;BEL;MF,FW;24;2000;32;1545;48;42,9;17,2;17;69;1;15;25;0;1,34;23;31;-8;-0,47;-0,68;BEL;MF,FW;24;2000;17,2;7;1;1;18;14;1;21;4;8;0;;;;;;;;;;;;;;;;;;;;;;;
Alexander De Ridder;Anderlecht;2526;BEL-Belgian Pro League;BEL;MF;17;2008;1;0;36;0,4;0;0;0;0;0;0;1;0;0,0;0,0;0,0;0,0;0,0;BEL;MF;17;2008;0,4;0;0;0;;0,0;0,0;;;0;0;BEL;MF;17;2008;1;36;36;1,0;0,4;0;;0;1;36;0;0,0;1;1;0;0,0;0,08;BEL;MF;17;2008;0,4;1;0;0;2;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Ali Maamar;Anderlecht;2526;BEL-Belgian Pro League;MAR;DF;20;2005;25;14;1368;15,2;0;4;4;0;0;0;4;0;0,0;0,26;0,26;0,0;0,26;MAR;DF;20;2005;15,2;0;13;0;0,0;0,86;0,0;0,0;;0;0;MAR;DF;20;2005;25;1368;55;38,0;15,2;14;79;8;11;24;7;1,48;23;18;5;0,33;0,65;MAR;DF;20;2005;15,2;4;0;0;23;17;3;32;19;20;0;;;;;;;;;;;;;;;;;;;;;;;
Anas Tajaouart;Anderlecht;2526;BEL-Belgian Pro League;MAR;MF;19;2005;1;1;45;0,5;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;MAR;MF;19;2005;0,5;0;0;0;;0,0;0,0;;;0;0;MAR;MF;19;2005;1;45;45;1,3;0,5;1;45;0;0;;10;0,0;1;3;-2;-4,0;-3,97;MAR;MF;19;2005;0,5;0;0;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
Basile Vroninks;Anderlecht;2526;BEL-Belgian Pro League;BEL;DF;18;2006;1;0;45;0,5;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;BEL;DF;18;2006;0,5;0;0;0;;0,0;0,0;;;0;0;BEL;DF;18;2006;1;45;45;1,3;0,5;0;;0;1;45;1;3,0;3;1;2;4,0;4,13;BEL;DF;18;2006;0,5;0;0;0;0;1;0;2;1;1;0;;;;;;;;;;;;;;;;;;;;;;;
Coba da Costa;Anderlecht;2526;BEL-Belgian Pro League;ESP;MF;23;2002;5;2;147;1,6;0;0;0;0;0;0;2;0;0,0;0,0;0,0;0,0;0,0;ESP;MF;23;2002;1,6;0;2;1;50,0;1,22;0,61;0,0;0,0;0;0;ESP;MF;23;2002;5;147;29;4,1;1,6;2;52;0;3;14;3;1,2;4;3;1;0,61;0,72;ESP;MF;23;2002;1,6;2;0;0;4;4;0;4;3;3;0;;;;;;;;;;;;;;;;;;;;;;;
Colin Coosemans;Anderlecht;2526;BEL-Belgian Pro League;BEL;GK;32;1992;38;38;3420;38,0;0;0;0;0;0;0;2;0;0,0;0,0;0,0;0,0;0,0;BEL;GK;32;1992;38,0;0;0;0;;0,0;0,0;;;0;0;BEL;GK;32;1992;38;3420;90;95,0;38,0;38;90;38;0;;0;1,37;55;56;-1;-0,03;0,97;BEL;GK;32;1992;38,0;2;0;0;2;10;0;1;3;0;0;BEL;GK;32;1992;38;38;3420;38,0;56;1,47;159;103;64,8;14;10;14;10;26,3;5;5;0;0;0,0
César Huerta;Anderlecht;2526;BEL-Belgian Pro League;MEX;MF,FW;24;2000;11;8;540;6,0;1;0;1;1;0;0;4;0;0,17;0,0;0,17;0,17;0,17;MEX;MF,FW;24;2000;6,0;1;16;6;37,5;2,67;1,0;0,06;0,17;0;0;MEX;MF,FW;24;2000;11;540;49;15,0;6,0;8;60;0;3;21;1;1,55;7;3;4;0,67;0,87;MEX;MF,FW;24;2000;6,0;4;0;0;13;8;0;11;3;11;0;;;;;;;;;;;;;;;;;;;;;;;
Danylo Sikan;Anderlecht;2526;BEL-Belgian Pro League;UKR;FW;24;2001;9;6;410;4,6;2;1;3;2;0;0;1;0;0,44;0,22;0,66;0,44;0,66;UKR;FW;24;2001;4,6;2;14;10;71,4;3,07;2,2;0,14;0,2;0;0;UKR;FW;24;2001;9;410;46;11,4;4,6;6;64;0;3;8;1;1,11;4;8;-4;-0,88;-0,91;UKR;FW;24;2001;4,6;1;0;0;14;8;1;1;1;3;0;;;;;;;;;;;;;;;;;;;;;;;
