player;team;season;league;fbref_standard_nation;fbref_standard_pos;fbref_standard_age;fbref_standard_born;fbref_standard_playing_time_mp;fbref_standard_playing_time_starts;fbref_standard_playing_time_min;fbref_standard_playing_time_90s;fbref_standard_performance_gls;fbref_standard_performance_ast;fbref_standard_performance_g_plus_a;fbref_standard_performance_g_pk;fbref_standard_performance_pk;fbref_standard_performance_pkatt;fbref_standard_performance_crdy;fbref_standard_performance_crdr;fbref_standard_per_90_minutes_gls;fbref_standard_per_90_minutes_ast;fbref_standard_per_90_minutes_g_plus_a;fbref_standard_per_90_minutes_g_pk;fbref_standard_per_90_minutes_g_plus_a_pk;fbref_shooting_nation;fbref_shooting_pos;fbref_shooting_age;fbref_shooting_born;fbref_shooting_90s;fbref_shooting_standard_gls;fbref_shooting_standard_sh;fbref_shooting_standard_sot;fbref_shooting_standard_sotpct;fbref_shooting_standard_sh_per_90;fbref_shooting_standard_sot_per_90;fbref_shooting_standard_g_per_sh;fbref_shooting_standard_g_per_sot;fbref_shooting_standard_pk;fbref_shooting_standard_pkatt;fbref_playing_time_nation;fbref_playing_time_pos;fbref_playing_time_age;fbref_playing_time_born;fbref_playing_time_playing_time_mp;fbref_playing_time_playing_time_min;fbref_playing_time_playing_time_mn_per_mp;fbref_playing_time_playing_time_minpct;fbref_playing_time_playing_time_90s;fbref_playing_time_starts_starts;fbref_playing_time_starts_mn_per_start;fbref_playing_time_starts_compl;fbref_playing_time_subs_subs;fbref_playing_time_subs_mn_per_sub;fbref_playing_time_subs_unsub;fbref_playing_time_team_success_ppm;fbref_playing_time_team_success_ong;fbref_playing_time_team_success_onga;fbref_playing_time_team_success_plus_minus;fbref_playing_time_team_success_plus_minus90;fbref_playing_time_team_success_on_off;fbref_misc_nation;fbref_misc_pos;fbref_misc_age;fbref_misc_born;fbref_misc_90s;fbref_misc_performance_crdy;fbref_misc_performance_crdr;fbref_misc_performance_2crdy;fbref_misc_performance_fls;fbref_misc_performance_fld;fbref_misc_performance_off;fbref_misc_performance_crs;fbref_misc_performance_int;fbref_misc_performance_tklw;fbref_misc_performance_og;fbref_keeper_nation;fbref_keeper_pos;fbref_keeper_age;fbref_keeper_born;fbref_keeper_playing_time_mp;fbref_keeper_playing_time_starts;fbref_keeper_playing_time_min;fbref_keeper_playing_time_90s;fbref_keeper_performance_ga;fbref_keeper_performance_ga90;fbref_keeper_performance_sota;fbref_keeper_performance_saves;fbref_keeper_performance_savepct;fbref_keeper_performance_w;fbref_keeper_performance_d;fbref_keeper_performance_l;fbref_keeper_performance_cs;fbref_keeper_performance_cspct;fbref_keeper_penalty_kicks_pkatt;fbref_keeper_penalty_kicks_pka;fbref_keeper_penalty_kicks_pksv;fbref_keeper_penalty_kicks_pkm;fbref_keeper_penalty_kicks_savepct
Aiman Dardari;Augsburg;2526;GER-Bundesliga;LUX;MF;20;2005;3;0;34;0,4;0;0;0;0;0;0;1;0;0,0;0,0;0,0;0,0;0,0;LUX;MF;20;2005;0,4;0;1;0;0,0;2,65;0,0;0,0;;0;0;LUX;MF;20;2005;3;34;11;1,1;0,4;0;;0;3;11;2;0,33;0;0;0;0,0;0,48;LUX;MF;20;2005;0,4;1;0;0;1;1;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Alexis Claude-Maurice;Augsburg;2526;GER-Bundesliga;FRA;MF,FW;27;1998;29;25;2097;23,3;5;4;9;4;1;2;3;0;0,21;0,17;0,39;0,17;0,34;FRA;MF,FW;27;1998;23,3;5;71;26;36,6;3,05;1,12;0,07;0,19;1;2;FRA;MF,FW;27;1998;29;2097;72;68,5;23,3;25;80;11;4;22;1;1,28;29;43;-14;-0,6;-0,41;FRA;MF,FW;27;1998;23,3;3;0;0;23;42;1;65;8;26;0;;;;;;;;;;;;;;;;;;;;;;;
Anton Kade;Augsburg;2526;GER-Bundesliga;GER;MF,FW;21;2004;28;18;1743;19,4;6;0;6;6;0;0;3;0;0,31;0,0;0,31;0,31;0,31;GER;MF,FW;21;2004;19,4;6;48;21;43,8;2,48;1,08;0,13;0,29;0;0;GER;MF,FW;21;2004;28;1743;62;57,0;19,4;18;81;6;10;29;1;1,29;22;35;-13;-0,67;-0,47;GER;MF,FW;21;2004;19,4;3;0;0;20;18;10;22;13;14;0;;;;;;;;;;;;;;;;;;;;;;;
Arne Maier;Augsburg;2526;GER-Bundesliga;GER;MF;26;1999;1;0;4;0,0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;GER;MF;26;1999;0,0;0;0;0;;0,0;0,0;;;0;0;GER;MF;26;1999;1;4;4;0,1;0,0;0;;0;1;4;10;3,0;0;0;0;0,0;0,47;GER;MF;26;1999;0,0;0;0;0;0;0;0;1;1;1;0;;;;;;;;;;;;;;;;;;;;;;;
Arthur Chaves;Augsburg;2526;GER-Bundesliga;BRA;DF;24;2001;11;9;829;9,2;2;0;2;2;0;0;1;0;0,22;0,0;0,22;0,22;0,22;BRA;DF;24;2001;9,2;2;4;2;50,0;0,43;0,22;0,5;1,0;0;0;BRA;DF;24;2001;11;829;75;27,1;9,2;9;84;7;2;35;3;1,36;13;15;-2;-0,22;0,35;BRA;DF;24;2001;9,2;1;0;0;8;8;0;1;8;13;1;;;;;;;;;;;;;;;;;;;;;;;
Cedric Zesiger;Augsburg;2526;GER-Bundesliga;SUI;DF;27;1998;27;20;1816;20,2;0;0;0;0;0;0;7;0;0,0;0,0;0,0;0,0;0,0;SUI;DF;27;1998;20,2;0;12;3;25,0;0,59;0,15;0,0;0,0;0;0;SUI;DF;27;1998;27;1816;67;59,3;20,2;20;85;17;7;16;4;1,38;26;40;-14;-0,69;-0,55;SUI;DF;27;1998;20,2;7;0;0;18;16;0;34;17;24;1;;;;;;;;;;;;;;;;;;;;;;;
Chrislain Matsima;Augsburg;2526;GER-Bundesliga;FRA;DF;23;2002;18;17;1489;16,5;1;1;2;1;0;0;5;0;0,06;0,06;0,12;0,06;0,12;FRA;DF;23;2002;16,5;1;7;1;14,3;0,42;0,06;0,14;1,0;0;0;FRA;DF;23;2002;18;1489;83;48,7;16,5;17;87;15;1;5;0;1,11;23;33;-10;-0,6;-0,26;FRA;DF;23;2002;16,5;5;0;0;10;4;0;4;30;11;0;;;;;;;;;;;;;;;;;;;;;;;
Daniel Klein;Augsburg;2526;GER-Bundesliga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GER;GK;24;2001;0;;;;;0;;0;0;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dimitris Giannoulis;Augsburg;2526;GER-Bundesliga;GRE;MF;29;1995;27;25;1888;21,0;2;5;7;2;0;0;8;0;0,1;0,24;0,33;0,1;0,33;GRE;MF;29;1995;21,0;2;10;6;60,0;0,48;0,29;0,2;0,33;0;0;GRE;MF;29;1995;27;1888;70;61,7;21,0;25;74;9;2;25;0;1,37;32;39;-7;-0,33;0,36;GRE;MF;29;1995;21,0;8;0;0;16;20;4;99;21;20;0;;;;;;;;;;;;;;;;;;;;;;;
Elias Saad;Augsburg;2526;GER-Bundesliga;TUN;MF,FW;25;1999;10;7;497;5,5;0;0;0;0;0;0;1;0;0,0;0,0;0,0;0,0;0,0;TUN;MF,FW;25;1999;5,5;0;6;3;50,0;1,09;0,54;0,0;0,0;0;0;TUN;MF,FW;25;1999;10;497;50;16,2;5,5;7;62;0;3;22;4;1,0;9;14;-5;-0,91;-0,52;TUN;MF,FW;25;1999;5,5;1;0;0;8;12;4;9;1;8;0;;;;;;;;;;;;;;;;;;;;;;;
