player;team;season;league;fbref_standard_nation;fbref_standard_pos;fbref_standard_age;fbref_standard_born;fbref_standard_playing_time_mp;fbref_standard_playing_time_starts;fbref_standard_playing_time_min;fbref_standard_playing_time_90s;fbref_standard_performance_gls;fbref_standard_performance_ast;fbref_standard_performance_g_plus_a;fbref_standard_performance_g_pk;fbref_standard_performance_pk;fbref_standard_performance_pkatt;fbref_standard_performance_crdy;fbref_standard_performance_crdr;fbref_standard_per_90_minutes_gls;fbref_standard_per_90_minutes_ast;fbref_standard_per_90_minutes_g_plus_a;fbref_standard_per_90_minutes_g_pk;fbref_standard_per_90_minutes_g_plus_a_pk;fbref_shooting_nation;fbref_shooting_pos;fbref_shooting_age;fbref_shooting_born;fbref_shooting_90s;fbref_shooting_standard_gls;fbref_shooting_standard_sh;fbref_shooting_standard_sot;fbref_shooting_standard_sotpct;fbref_shooting_standard_sh_per_90;fbref_shooting_standard_sot_per_90;fbref_shooting_standard_g_per_sh;fbref_shooting_standard_g_per_sot;fbref_shooting_standard_pk;fbref_shooting_standard_pkatt;fbref_playing_time_nation;fbref_playing_time_pos;fbref_playing_time_age;fbref_playing_time_born;fbref_playing_time_playing_time_mp;fbref_playing_time_playing_time_min;fbref_playing_time_playing_time_mn_per_mp;fbref_playing_time_playing_time_minpct;fbref_playing_time_playing_time_90s;fbref_playing_time_starts_starts;fbref_playing_time_starts_mn_per_start;fbref_playing_time_starts_compl;fbref_playing_time_subs_subs;fbref_playing_time_subs_mn_per_sub;fbref_playing_time_subs_unsub;fbref_playing_time_team_success_ppm;fbref_playing_time_team_success_ong;fbref_playing_time_team_success_onga;fbref_playing_time_team_success_plus_minus;fbref_playing_time_team_success_plus_minus90;fbref_playing_time_team_success_on_off;fbref_misc_nation;fbref_misc_pos;fbref_misc_age;fbref_misc_born;fbref_misc_90s;fbref_misc_performance_crdy;fbref_misc_performance_crdr;fbref_misc_performance_2crdy;fbref_misc_performance_fls;fbref_misc_performance_fld;fbref_misc_performance_off;fbref_misc_performance_crs;fbref_misc_performance_int;fbref_misc_performance_tklw;fbref_misc_performance_og;fbref_keeper_nation;fbref_keeper_pos;fbref_keeper_age;fbref_keeper_born;fbref_keeper_playing_time_mp;fbref_keeper_playing_time_starts;fbref_keeper_playing_time_min;fbref_keeper_playing_time_90s;fbref_keeper_performance_ga;fbref_keeper_performance_ga90;fbref_keeper_performance_sota;fbref_keeper_performance_saves;fbref_keeper_performance_savepct;fbref_keeper_performance_w;fbref_keeper_performance_d;fbref_keeper_performance_l;fbref_keeper_performance_cs;fbref_keeper_performance_cspct;fbref_keeper_penalty_kicks_pkatt;fbref_keeper_penalty_kicks_pka;fbref_keeper_penalty_kicks_pksv;fbref_keeper_penalty_kicks_pkm;fbref_keeper_penalty_kicks_savepct
Alexandre Penetra;AZ Alkmaar;2526;NED-Eredivisie;POR;DF;23;2001;33;33;2844;31,6;2;1;3;2;0;0;5;0;0,06;0,03;0,09;0,06;0,09;POR;DF;23;2001;31,6;2;16;2;12,5;0,51;0,06;0,13;1,0;0;0;POR;DF;23;2001;33;2844;86;92,9;31,6;33;86;28;0;;0;1,48;52;48;4;0,13;-1,12;POR;DF;23;2001;31,6;5;0;0;20;23;2;7;29;29;0;;;;;;;;;;;;;;;;;;;;;;;
Andrea Natali;AZ Alkmaar;2526;NED-Eredivisie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ITA;DF;17;2008;0;;;;;0;;0;0;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ayoub Oufkir;AZ Alkmaar;2526;NED-Eredivisie;NED;MF;19;2006;8;1;220;2,4;0;0;0;0;0;0;1;0;0,0;0,0;0,0;0,0;0,0;NED;MF;19;2006;2,4;0;5;3;60,0;2,05;1,23;0,0;0,0;0;0;NED;MF;19;2006;8;220;28;7,2;2,4;1;53;0;7;24;8;1,63;4;6;-2;-0,82;-1,1;NED;MF;19;2006;2,4;1;0;0;5;5;0;5;3;4;0;;;;;;;;;;;;;;;;;;;;;;;
Bendegúz Kovács;AZ Alkmaar;2526;NED-Eredivisie;HUN;FW;18;2007;3;0;29;0,3;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;HUN;FW;18;2007;0,3;0;2;0;0,0;6,21;0,0;0,0;;0;0;HUN;FW;18;2007;3;29;10;0,9;0,3;0;;0;3;10;2;1,0;1;0;1;3,1;2,93;HUN;FW;18;2007;0,3;0;0;0;2;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Billy van Duijl;AZ Alkmaar;2526;NED-Eredivisie;NED;DF;19;2005;7;6;585;6,5;1;0;1;1;0;0;0;0;0,15;0,0;0,15;0,15;0,15;NED;DF;19;2005;6,5;1;3;1;33,3;0,46;0,15;0,33;1,0;0;0;NED;DF;19;2005;7;585;84;19,1;6,5;6;90;6;1;45;16;1,43;10;7;3;0,46;0,32;NED;DF;19;2005;6,5;0;0;0;3;3;0;4;8;10;0;;;;;;;;;;;;;;;;;;;;;;;
Daniel Deen;AZ Alkmaar;2526;NED-Eredivisie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NED;GK;22;2003;0;;;;;0;;0;0;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dave Kwakman;AZ Alkmaar;2526;NED-Eredivisie;NED;MF;20;2004;6;0;108;1,2;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;NED;MF;20;2004;1,2;0;0;0;;0,0;0,0;;;0;0;NED;MF;20;2004;6;108;18;3,5;1,2;0;;0;6;18;10;1,17;3;2;1;0,83;0,65;NED;MF;20;2004;1,2;0;0;0;1;6;0;2;1;3;0;;;;;;;;;;;;;;;;;;;;;;;
Denso Kasius;AZ Alkmaar;2526;NED-Eredivisie;NED;DF;22;2002;17;13;1219;13,5;2;2;4;2;0;0;3;0;0,15;0,15;0,3;0,15;0,3;NED;DF;22;2002;13,5;2;25;8;32,0;1,85;0,59;0,08;0,25;0;0;NED;DF;22;2002;17;1219;72;39,8;13,5;13;84;8;4;30;0;1,88;27;18;9;0,66;0,76;NED;DF;22;2002;13,5;3;0;0;9;9;0;54;7;12;0;;;;;;;;;;;;;;;;;;;;;;;
Elijah Dijkstra;AZ Alkmaar;2526;NED-Eredivisie;NED;DF,MF;18;2006;20;13;1268;14,1;0;0;0;0;0;0;1;0;0,0;0,0;0,0;0,0;0,0;NED;DF,MF;18;2006;14,1;0;7;1;14,3;0,5;0,07;0,0;0,0;0;0;NED;DF,MF;18;2006;20;1268;63;41,4;14,1;13;79;6;7;34;14;1,3;24;22;2;0,14;-0,11;NED;DF,MF;18;2006;14,1;1;0;0;8;16;0;12;22;17;0;;;;;;;;;;;;;;;;;;;;;;;
Ernest Poku;AZ Alkmaar;2526;NED-Eredivisie;NED;FW;21;2004;1;1;76;0,8;0;1;1;0;0;0;0;0;0,0;1,18;1,18;0,0;1,18;NED;FW;21;2004;0,8;0;0;0;;0,0;0,0;;;0;0;NED;FW;21;2004;1;76;76;2,5;0,8;1;76;0;0;;0;3,0;3;1;2;2,37;2,22;NED;FW;21;2004;0,8;0;0;0;0;0;1;1;2;0;0;;;;;;;;;;;;;;;;;;;;;;;
Hobie Verhulst;AZ Alkmaar;2526;NED-Eredivisie;NED;GK;32;1993;1;1;90;1,0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;NED;GK;32;1993;1,0;0;0;0;;0,0;0,0;;;0;0;NED;GK;32;1993;1;90;90;2,9;1,0;1;90;1;0;;31;3,0;4;0;4;4,0;3,91;NED;GK;32;1993;1,0;0;0;0;0;0;0;0;0;0;0;NED;GK;32;1993;1;1;90;1,0;0;0,0;2;2;100,0;1;0;0;1;100,0;0;0;0;0;
Ibrahim Sadiq;AZ Alkmaar;2526;NED-Eredivisie;GHA;MF,FW;25;2000;20;5;636;7,1;2;0;2;2;0;0;3;0;0,28;0,0;0,28;0,28;0,28;GHA;MF,FW;25;2000;7,1;2;21;10;47,6;2,97;1,42;0,1;0,2;0;0;GHA;MF,FW;25;2000;20;636;32;20,8;7,1;5;59;1;15;23;13;1,6;13;11;2;0,28;0,1;GHA;MF,FW;25;2000;7,1;3;0;0;8;10;3;12;3;5;0;;;;;;;;;;;;;;;;;;;;;;;
Isak Jensen;AZ Alkmaar;2526;NED-Eredivisie;DEN;MF,FW;21;2003;33;23;2035;22,6;2;4;6;2;0;0;0;0;0,09;0,18;0,27;0,09;0,27;DEN;MF,FW;21;2003;22,6;2;34;9;26,5;1,5;0,4;0,06;0,22;0;0;DEN;MF,FW;21;2003;33;2035;62;66,5;22,6;23;74;5;10;33;0;1,58;41;28;13;0,57;1,1;DEN;MF,FW;21;2003;22,6;0;0;0;14;27;4;77;8;16;0;;;;;;;;;;;;;;;;;;;;;;;
Jasper Hartog;AZ Alkmaar;2526;NED-Eredivisie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NED;FW;19;2006;0;;;;;0;;0;0;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jeroen Zoet;AZ Alkmaar;2526;NED-Eredivisie;NED;GK;34;1991;11;10;919;10,2;0;1;1;0;0;0;0;0;0,0;0,1;0,1;0,0;0,1;NED;GK;34;1991;10,2;0;0;0;;0,0;0,0;;;0;0;NED;GK;34;1991;11;919;84;30,0;10,2;10;90;10;1;19;20;1,55;16;15;1;0,1;-0,15;NED;GK;34;1991;10,2;0;0;0;0;2;0;0;0;0;0;NED;GK;34;1991;11;10;919;10,2;15;1,47;46;31;67,4;5;2;3;2;20,0;1;1;0;0;0,0
Jesper Zwart;AZ Alkmaar;2526;NED-Eredivisie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NED;DF;18;2006;0;;;;;0;;0;0;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
