player;team;season;league;fbref_standard_nation;fbref_standard_pos;fbref_standard_age;fbref_standard_born;fbref_standard_playing_time_mp;fbref_standard_playing_time_starts;fbref_standard_playing_time_min;fbref_standard_playing_time_90s;fbref_standard_performance_gls;fbref_standard_performance_ast;fbref_standard_performance_g_plus_a;fbref_standard_performance_g_pk;fbref_standard_performance_pk;fbref_standard_performance_pkatt;fbref_standard_performance_crdy;fbref_standard_performance_crdr;fbref_standard_per_90_minutes_gls;fbref_standard_per_90_minutes_ast;fbref_standard_per_90_minutes_g_plus_a;fbref_standard_per_90_minutes_g_pk;fbref_standard_per_90_minutes_g_plus_a_pk;fbref_shooting_nation;fbref_shooting_pos;fbref_shooting_age;fbref_shooting_born;fbref_shooting_90s;fbref_shooting_standard_gls;fbref_shooting_standard_sh;fbref_shooting_standard_sot;fbref_shooting_standard_sotpct;fbref_shooting_standard_sh_per_90;fbref_shooting_standard_sot_per_90;fbref_shooting_standard_g_per_sh;fbref_shooting_standard_g_per_sot;fbref_shooting_standard_pk;fbref_shooting_standard_pkatt;fbref_playing_time_nation;fbref_playing_time_pos;fbref_playing_time_age;fbref_playing_time_born;fbref_playing_time_playing_time_mp;fbref_playing_time_playing_time_min;fbref_playing_time_playing_time_mn_per_mp;fbref_playing_time_playing_time_minpct;fbref_playing_time_playing_time_90s;fbref_playing_time_starts_starts;fbref_playing_time_starts_mn_per_start;fbref_playing_time_starts_compl;fbref_playing_time_subs_subs;fbref_playing_time_subs_mn_per_sub;fbref_playing_time_subs_unsub;fbref_playing_time_team_success_ppm;fbref_playing_time_team_success_ong;fbref_playing_time_team_success_onga;fbref_playing_time_team_success_plus_minus;fbref_playing_time_team_success_plus_minus90;fbref_playing_time_team_success_on_off;fbref_misc_nation;fbref_misc_pos;fbref_misc_age;fbref_misc_born;fbref_misc_90s;fbref_misc_performance_crdy;fbref_misc_performance_crdr;fbref_misc_performance_2crdy;fbref_misc_performance_fls;fbref_misc_performance_fld;fbref_misc_performance_off;fbref_misc_performance_crs;fbref_misc_performance_int;fbref_misc_performance_tklw;fbref_misc_performance_og;fbref_keeper_nation;fbref_keeper_pos;fbref_keeper_age;fbref_keeper_born;fbref_keeper_playing_time_mp;fbref_keeper_playing_time_starts;fbref_keeper_playing_time_min;fbref_keeper_playing_time_90s;fbref_keeper_performance_ga;fbref_keeper_performance_ga90;fbref_keeper_performance_sota;fbref_keeper_performance_saves;fbref_keeper_performance_savepct;fbref_keeper_performance_w;fbref_keeper_performance_d;fbref_keeper_performance_l;fbref_keeper_performance_cs;fbref_keeper_performance_cspct;fbref_keeper_penalty_kicks_pkatt;fbref_keeper_penalty_kicks_pka;fbref_keeper_penalty_kicks_pksv;fbref_keeper_penalty_kicks_pkm;fbref_keeper_penalty_kicks_savepct
Abde Rebbach;Alavés;2526;ESP-La Liga;ALG;MF,DF;26;1998;30;15;1496;16,6;1;4;5;1;0;0;8;0;0,06;0,24;0,3;0,06;0,3;ALG;MF,DF;26;1998;16,6;1;34;12;35,3;2,05;0,72;0,03;0,08;0;0;ALG;MF,DF;26;1998;30;1496;50;43,7;16,6;15;76;7;15;24;7;1,13;21;21;0;0,0;0,56;ALG;MF,DF;26;1998;16,6;8;0;0;40;30;5;109;16;21;0;;;;;;;;;;;;;;;;;;;;;;;
Aitor Mañas;Alavés;2526;ESP-La Liga;ESP;FW;22;2003;9;0;122;1,4;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;ESP;FW;22;2003;1,4;0;2;1;50,0;1,48;0,74;0,0;0,0;0;0;ESP;FW;22;2003;9;122;14;3,6;1,4;0;;0;9;14;10;1,0;2;3;-1;-0,74;-0,44;ESP;FW;22;2003;1,4;0;0;0;2;1;0;0;1;2;0;;;;;;;;;;;;;;;;;;;;;;;
Ander Guevara;Alavés;2526;ESP-La Liga;ESP;MF;28;1997;25;2;654;7,3;1;1;2;1;0;0;4;1;0,14;0,14;0,28;0,14;0,28;ESP;MF;28;1997;7,3;1;5;1;20,0;0,69;0,14;0,2;1,0;0;0;ESP;MF;28;1997;25;654;26;19,1;7,3;2;83;1;23;21;12;1,0;15;14;1;0,14;0,56;ESP;MF;28;1997;7,3;4;1;1;11;5;0;6;9;8;0;;;;;;;;;;;;;;;;;;;;;;;
Antonio Blanco;Alavés;2526;ESP-La Liga;ESP;MF;25;2000;36;36;3110;34,6;2;3;5;2;0;0;9;0;0,06;0,09;0,14;0,06;0,14;ESP;MF;25;2000;34,6;2;40;13;32,5;1,16;0,38;0,05;0,15;0;0;ESP;MF;25;2000;36;3110;86;90,9;34,6;36;86;28;0;;1;1,08;36;52;-16;-0,46;-1,62;ESP;MF;25;2000;34,6;9;0;0;71;43;2;30;51;49;0;;;;;;;;;;;;;;;;;;;;;;;
Antonio Sivera;Alavés;2526;ESP-La Liga;ESP;GK;28;1996;38;38;3420;38,0;0;0;0;0;0;0;3;0;0,0;0,0;0,0;0,0;0,0;ESP;GK;28;1996;38,0;0;0;0;;0,0;0,0;;;0;0;ESP;GK;28;1996;38;3420;90;100,0;38,0;38;90;38;0;;0;1,13;44;56;-12;-0,32;;ESP;GK;28;1996;38,0;3;0;0;1;1;0;0;0;1;1;ESP;GK;28;1996;38;38;3420;38,0;56;1,47;153;97;63,4;11;10;17;5;13,2;5;5;0;0;0,0
Calebe;Alavés;2526;ESP-La Liga;BRA;MF;25;2000;19;13;752;8,4;0;0;0;0;0;0;2;0;0,0;0,0;0,0;0,0;0,0;BRA;MF;25;2000;8,4;0;5;1;20,0;0,6;0,12;0,0;0,0;0;0;BRA;MF;25;2000;19;752;40;22,0;8,4;13;52;0;6;13;18;1,21;8;8;0;0,0;0,4;BRA;MF;25;2000;8,4;2;0;0;18;19;0;16;9;14;0;;;;;;;;;;;;;;;;;;;;;;;
Carles Aleñá;Alavés;2526;ESP-La Liga;ESP;MF;27;1998;34;23;1989;22,1;0;4;4;0;0;0;5;0;0,0;0,18;0,18;0,0;0,18;ESP;MF;27;1998;22,1;0;29;5;17,2;1,31;0,23;0,0;0,0;0;0;ESP;MF;27;1998;34;1989;59;58,2;22,1;23;73;4;11;27;3;1,06;23;35;-12;-0,54;-0,54;ESP;MF;27;1998;22,1;5;0;0;38;36;1;121;12;24;0;;;;;;;;;;;;;;;;;;;;;;;
Carlos Ballestero;Alavés;2526;ESP-La Liga;ESP;DF;21;2004;1;0;1;0,0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;ESP;DF;21;2004;0,0;0;0;0;;0,0;0,0;;;0;0;ESP;DF;21;2004;1;1;1;0,0;0,0;0;;0;1;1;8;1,0;0;1;-1;-90,0;-89,71;ESP;DF;21;2004;0,0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Carlos Benavídez;Alavés;2526;ESP-La Liga;URU;DF;27;1998;13;3;324;3,6;0;0;0;0;0;0;2;1;0,0;0,0;0,0;0,0;0,0;URU;DF;27;1998;3,6;0;3;2;66,7;0,83;0,56;0,0;0,0;0;0;URU;DF;27;1998;13;324;25;9,5;3,6;3;55;1;10;16;14;1,62;5;6;-1;-0,28;0,04;URU;DF;27;1998;3,6;2;1;1;8;2;0;1;3;6;0;;;;;;;;;;;;;;;;;;;;;;;
Carlos Vicente;Alavés;2526;ESP-La Liga;ESP;MF;26;1999;21;11;1258;14,0;5;0;5;2;3;3;1;0;0,36;0,0;0,36;0,14;0,14;ESP;MF;26;1999;14,0;5;12;6;50,0;0,86;0,43;0,42;0,83;3;3;ESP;MF;26;1999;21;1258;60;36,8;14,0;11;79;6;10;39;0;1,05;12;19;-7;-0,5;-0,29;ESP;MF;26;1999;14,0;1;0;0;12;42;10;128;7;18;0;;;;;;;;;;;;;;;;;;;;;;;
