player;team;season;league;fbref_standard_nation;fbref_standard_pos;fbref_standard_age;fbref_standard_born;fbref_standard_playing_time_mp;fbref_standard_playing_time_starts;fbref_standard_playing_time_min;fbref_standard_playing_time_90s;fbref_standard_performance_gls;fbref_standard_performance_ast;fbref_standard_performance_g_plus_a;fbref_standard_performance_g_pk;fbref_standard_performance_pk;fbref_standard_performance_pkatt;fbref_standard_performance_crdy;fbref_standard_performance_crdr;fbref_standard_per_90_minutes_gls;fbref_standard_per_90_minutes_ast;fbref_standard_per_90_minutes_g_plus_a;fbref_standard_per_90_minutes_g_pk;fbref_standard_per_90_minutes_g_plus_a_pk;fbref_shooting_nation;fbref_shooting_pos;fbref_shooting_age;fbref_shooting_born;fbref_shooting_90s;fbref_shooting_standard_gls;fbref_shooting_standard_sh;fbref_shooting_standard_sot;fbref_shooting_standard_sotpct;fbref_shooting_standard_sh_per_90;fbref_shooting_standard_sot_per_90;fbref_shooting_standard_g_per_sh;fbref_shooting_standard_g_per_sot;fbref_shooting_standard_pk;fbref_shooting_standard_pkatt;fbref_playing_time_nation;fbref_playing_time_pos;fbref_playing_time_age;fbref_playing_time_born;fbref_playing_time_playing_time_mp;fbref_playing_time_playing_time_min;fbref_playing_time_playing_time_mn_per_mp;fbref_playing_time_playing_time_minpct;fbref_playing_time_playing_time_90s;fbref_playing_time_starts_starts;fbref_playing_time_starts_mn_per_start;fbref_playing_time_starts_compl;fbref_playing_time_subs_subs;fbref_playing_time_subs_mn_per_sub;fbref_playing_time_subs_unsub;fbref_playing_time_team_success_ppm;fbref_playing_time_team_success_ong;fbref_playing_time_team_success_onga;fbref_playing_time_team_success_plus_minus;fbref_playing_time_team_success_plus_minus90;fbref_playing_time_team_success_on_off;fbref_misc_nation;fbref_misc_pos;fbref_misc_age;fbref_misc_born;fbref_misc_90s;fbref_misc_performance_crdy;fbref_misc_performance_crdr;fbref_misc_performance_2crdy;fbref_misc_performance_fls;fbref_misc_performance_fld;fbref_misc_performance_off;fbref_misc_performance_crs;fbref_misc_performance_int;fbref_misc_performance_tklw;fbref_misc_performance_og;fbref_keeper_nation;fbref_keeper_pos;fbref_keeper_age;fbref_keeper_born;fbref_keeper_playing_time_mp;fbref_keeper_playing_time_starts;fbref_keeper_playing_time_min;fbref_keeper_playing_time_90s;fbref_keeper_performance_ga;fbref_keeper_performance_ga90;fbref_keeper_performance_sota;fbref_keeper_performance_saves;fbref_keeper_performance_savepct;fbref_keeper_performance_w;fbref_keeper_performance_d;fbref_keeper_performance_l;fbref_keeper_performance_cs;fbref_keeper_performance_cspct;fbref_keeper_penalty_kicks_pkatt;fbref_keeper_penalty_kicks_pka;fbref_keeper_penalty_kicks_pksv;fbref_keeper_penalty_kicks_pkm;fbref_keeper_penalty_kicks_savepct
Andre Annous;Arsenal;2526;ENG-Premier League;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ENG;FW;17;2007;0;;;;;0;;0;0;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ben White;Arsenal;2526;ENG-Premier League;ENG;DF;27;1997;12;9;702;7,8;0;1;1;0;0;0;0;0;0,0;0,13;0,13;0,0;0,13;ENG;DF;27;1997;7,8;0;5;1;20,0;0,64;0,13;0,0;0,0;0;0;ENG;DF;27;1997;12;702;59;20,5;7,8;9;72;4;3;19;17;1,83;10;6;4;0,51;-0,81;ENG;DF;27;1997;7,8;0;0;0;5;6;3;16;9;9;0;;;;;;;;;;;;;;;;;;;;;;;
Bukayo Saka;Arsenal;2526;ENG-Premier League;ENG;FW,MF;23;2001;31;25;2222;24,7;7;5;12;6;1;1;2;0;0,28;0,2;0,49;0,24;0,45;ENG;FW,MF;23;2001;24,7;7;71;27;38,0;2,88;1,09;0,1;0,26;1;1;ENG;FW,MF;23;2001;31;2222;72;65,0;24,7;25;82;15;6;27;1;2,35;46;16;30;1,22;0,16;ENG;FW,MF;23;2001;24,7;2;0;0;33;54;14;122;16;19;0;;;;;;;;;;;;;;;;;;;;;;;
Christian Nørgaard;Arsenal;2526;ENG-Premier League;DEN;MF;31;1994;7;1;106;1,2;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;DEN;MF;31;1994;1,2;0;2;1;50,0;1,7;0,85;0,0;0,0;0;0;DEN;MF;31;1994;7;106;15;3,1;1,2;1;45;0;6;10;21;3,0;3;1;2;1,7;0,56;DEN;MF;31;1994;1,2;0;0;0;3;0;0;1;1;2;0;;;;;;;;;;;;;;;;;;;;;;;
Cristhian Mosquera;Arsenal;2526;ENG-Premier League;ESP;DF;21;2004;20;9;994;11,0;0;0;0;0;0;0;4;0;0,0;0,0;0,0;0,0;0,0;ESP;DF;21;2004;11,0;0;1;0;0,0;0,09;0,0;0,0;;0;0;ESP;DF;21;2004;20;994;50;29,1;11,0;9;75;5;11;29;11;2,15;17;8;9;0,81;-0,48;ESP;DF;21;2004;11,0;4;0;0;17;7;1;3;8;21;0;;;;;;;;;;;;;;;;;;;;;;;
David Raya;Arsenal;2526;ENG-Premier League;ESP;GK;29;1995;37;37;3330;37,0;0;0;0;0;0;0;1;0;0,0;0,0;0,0;0,0;0,0;ESP;GK;29;1995;37,0;0;0;0;;0,0;0,0;;;0;0;ESP;GK;29;1995;37;3330;90;97,4;37,0;37;90;37;0;;0;2,22;69;26;43;1,16;0,16;ESP;GK;29;1995;37,0;1;0;0;0;14;0;1;1;1;0;ESP;GK;29;1995;37;37;3330;37,0;26;0,7;86;59;69,8;25;7;5;19;51,4;0;0;0;0;
Declan Rice;Arsenal;2526;ENG-Premier League;ENG;MF;26;1999;36;35;3094;34,4;4;5;9;4;0;0;3;0;0,12;0,15;0,26;0,12;0,26;ENG;MF;26;1999;34,4;4;40;13;32,5;1,16;0,38;0,1;0,31;0;0;ENG;MF;26;1999;36;3094;86;90,5;34,4;35;88;29;1;23;1;2,19;62;25;37;1,08;-0,86;ENG;MF;26;1999;34,4;3;0;0;26;11;1;177;33;33;0;;;;;;;;;;;;;;;;;;;;;;;
Eberechi Eze;Arsenal;2526;ENG-Premier League;ENG;MF,FW;27;1998;32;21;1812;20,1;7;2;9;7;0;0;1;0;0,35;0,1;0,45;0,35;0,45;ENG;MF,FW;27;1998;20,1;7;57;18;31,6;2,83;0,89;0,12;0,39;0;0;ENG;MF,FW;27;1998;32;1812;57;53,0;20,1;21;74;5;11;24;4;2,09;37;14;23;1,14;-0,03;ENG;MF,FW;27;1998;20,1;1;0;0;14;38;1;8;11;13;0;;;;;;;;;;;;;;;;;;;;;;;
Ethan Nwaneri;Arsenal;2526;ENG-Premier League;ENG;MF;18;2007;6;0;171;1,9;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;ENG;MF;18;2007;1,9;0;6;0;0,0;3,16;0,0;0,0;;0;0;ENG;MF;18;2007;6;171;29;5,0;1,9;0;;0;6;29;11;2,67;8;0;8;4,21;3,21;ENG;MF;18;2007;1,9;0;0;0;2;0;0;2;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Gabriel Jesus;Arsenal;2526;ENG-Premier League;BRA;FW;28;1997;14;3;429;4,8;3;0;3;3;0;0;3;0;0,63;0,0;0,63;0,63;0,63;BRA;FW;28;1997;4,8;3;19;12;63,2;3,99;2,52;0,16;0,25;0;0;BRA;FW;28;1997;14;429;31;12,5;4,8;3;63;0;11;22;10;2,14;8;6;2;0,42;-0,84;BRA;FW;28;1997;4,8;3;0;0;9;1;7;0;2;0;0;;;;;;;;;;;;;;;;;;;;;;;
